country,crop,prevalence,notes,source
Argentina,Cotton (GM share),100%,USDA 2024 reports ~100% GM cotton adoption.,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Buenos+Aires_Argentina_AR2024-0018.pdf
Argentina,Maize (GM share),99%,USDA 2024 reports 99% GM corn adoption.,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Buenos+Aires_Argentina_AR2024-0018.pdf
Argentina,Soybean (GM share),100%,USDA 2024 reports ~100% of planted soybean is GM.,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Buenos+Aires_Argentina_AR2024-0018.pdf
Australia,Canola (GM share),High,GM canola widely grown in several states; adoption high where allowed.,https://www.ogtr.gov.au/sites/default/files/files/2021-06/12_-_genetically_modified_gm_canola_in_australia.pdf
Australia,Cotton (GM share),>99%,Nearly all Australian cotton carries GM traits.,https://ogtr.gov.au/resources/publications/genetically-modified-gm-cotton-australia
Australia,Safflower,Limited,GM safflower grown for industrial oil in selected regions since 2018.,https://www.ogtr.gov.au/sites/default/files/2021-09/genetically_modified_gm_safflower_in_australia.pdf
Bangladesh,Bt brinjal,Growing,Cultivation expanded beyond pilot years under BARI program.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6771371/
Brazil,Cotton (GM share),~80%,GM cotton adoption continues to expand with stacked Bt/HT traits.,https://apps.fas.usda.gov/gainfiles/2021/2021-0044.pdf
Brazil,Eucalyptus (H421),Limited,First plantations established after 2015 approval; adoption area still small relative to national forest sector.,https://www.isaaa.org/gmapprovaldatabase/event/default.asp?EventID=312
Brazil,Maize (GM share),~85%,GM maize adoption widespread; covers most of summer and winter maize plantings.,https://apps.fas.usda.gov/gainfiles/2021/2021-0044.pdf
Brazil,Soybean (GM share),~95%,Nearly all soybean production is GM; Brazil is world’s largest soybean exporter.,https://apps.fas.usda.gov/gainfiles/2021/2021-0044.pdf
Brazil,Sugarcane (CTC91087-6),Limited,Cultivated on a limited basis since 2017 approval; adoption growing slowly.,https://www.isaaa.org/gmapprovaldatabase/event/default.asp?EventID=315
Canada,Canola (GM share),>90%,CFIA reports >90% of canola is GM.,https://inspection.canada.ca/plant-varieties/plants-with-novel-traits/approved-events/eng/1338187634593/1338187758642
Canada,Maize (GM share),>80%,CFIA reports widespread GM maize.,https://apps.fas.usda.gov/newgainapi/api/report/downloadreportbyfilename?filename=Agricultural+Biotechnology+Annual_Ottawa_Canada_CA2022-0021.pdf
Canada,Soybean (GM share),>70%,USDA/CFIA report majority GM soybean adoption.,https://apps.fas.usda.gov/newgainapi/api/report/downloadreportbyfilename?filename=Agricultural+Biotechnology+Annual_Ottawa_Canada_CA2022-0021.pdf
Canada,Sugar beet (GM share),>95%,GM sugar beet widely grown in Canada.,https://inspection.canada.ca/plant-varieties/plants-with-novel-traits/approved-events/eng/1338187634593/1338187758642
China,Bt cotton,~95%,Adoption of Bt cotton nearly universal in producing regions.,https://www.isaaa.org/resources/publications/briefs/44/executivesummary/default.asp
China,Soybean (imports),High,China is top importer of GM soy globally.,https://www.isaaa.org/resources/publications/briefs/44/executivesummary/default.asp
Egypt,Cultivation,None,Cultivation banned; food/feed imports permitted.,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Biotechnology+and+Other+New+Production+Technologies+Annual_Cairo_Egypt_EG2023-0021.pdf
